Num_Kids|Loan_ID|Gender|Married|Dependent_No|Education|Self_Employed|Applicant_Income|CoApplicant_Income|Loan_Amount|Loan_Amount_Term|Credit History|Property_District|Loan_Status
-|24160|Female|False|3|Graduate|False|2015|34568.0|10000|300|1|OCR|1
-|24161|Male|False|3|Not Graduate|True|35922||10000|60|1|RCR|0
-|24162|Male|False|1|Not Graduate|True|14333|8912.0|60000|60|1|CCR|1
-|24163|Male|False|1|Not Graduate|True|15484||10000|180|1|OCR|1
-|24165|Female|False|1|Not Graduate|True|34359|2229.0|30000|180|1|RCR|0
-|24166|Male|False|3|Not Graduate|True|5514|16855.0|40000|300|1|RCR|1
-|24167|Female|True|1|Not Graduate|True|78809|16921.0|50000|180|1|OCR|1
-|24168|Male|True|0|Graduate|True|74488|22940.0|20000|120|1|OCR|1
-|24169|Female|False|4|Not Graduate|False|35933|48008.0|50000|60|1|CCR|1
-|24170|Female|True|1|Not Graduate|False|72648|24013.0|50000|180|1|OCR|1
-|24171|Male|True|1|Not Graduate|False|38455|44032.0|50000|360|0|OCR|1
-|24174|Female|True|2|Not Graduate|True|46281|29702.0|30000|180|0|OCR|0
-|24175|Male|False|1|Not Graduate|False|88978|49290.0|10000|360|0|CCR|1
-|24176|Female|False|1|Not Graduate|True|19213|29734.0|40000|300|1|OCR|0
-|24177|Male|True|4|Graduate|True|78584|7269.0|20000|120|1|OCR|0
-|24178|Male|False|4|Not Graduate|True|21929|42402.0|20000|180|1|CCR|1
-|24179|Male|True|2|Not Graduate|True|86934|28023.0|60000|240|0|CCR|1
-|24180|Female|True|2|Not Graduate|False|73091|41930.0|50000|240|0|RCR|1
-|24181|Female|True|0|Not Graduate|True|48832|15066.0|50000|180|1|OCR|1
-|24182|Female|True|4|Graduate|True|18829|29970.0|10000|300|1|OCR|1
-|24183|Male|True|3|Graduate|False|99939|42609.0|20000|120|1|CCR|1
-|24185|Male|True|4|Not Graduate|True|23128|7252.0|30000|120|1|OCR|1
-|24186|Female|True|3|Graduate|False|86412|39905.0|30000|120|1|CCR|1
-|24188|Male|False|4|Not Graduate|True|49594|2561.0|60000|300|0|OCR|1
-|24189|Male|True|4|Not Graduate|True|60649|5219.0|10000|360|1|CCR|1
-|24190|Male|True|2|Graduate|True|31345|2207.0|40000|300|1|OCR|1
-|24191|Male|True|1|Not Graduate|False|13311|26937.0|30000|60|1|CCR|0
-|24192|Male|False|1|Not Graduate|True|58480|25882.0|60000|300|1|OCR|0
-|24193|Male|True|1|Not Graduate|False|30828|21572.0|60000|120|1|RCR|0
-|24194|Male|True|2|Not Graduate|True|20928||50000|180|1|CCR|1
-|24195|Male|True|0|Not Graduate|False|55088|10006.0|10000|360|1|OCR|0
-|24196|Male|False|4|Graduate|True|15502|47002.0|60000|60|1|OCR|1
-|24197|Male|True|1|Not Graduate|True|6301|16521.0|60000|120|1|OCR|0
-|24198|Male|True|3|Graduate|True|5538||30000|240|1|RCR|1
-|24199|Male|False|4|Not Graduate|False|72739|36225.0|20000|300|1|RCR|0
-|24200|Male|True|3|Not Graduate|False|40113|12955.0|50000|360|1|OCR|1
