Num_Kids|Loan_ID|Gender|Married|Dependent_No|Education|Self_Employed|Applicant_Income|CoApplicant_Income|Loan_Amount|Loan_Amount_Term|Credit History|Property_District|Loan_Status
-|23053|Male|True|3|Graduate|False|32557|33205.0|40000|240|1|OCR|0
-|23056|Male|False|1|Not Graduate|True|7576|36872.0|10000|300|1|CCR|1
-|23057|Male|True|1|Not Graduate|True|34061|43871.0|30000|360|1|OCR|0
-|23058|Male|True|4|Not Graduate|False|84303|46106.0|20000|240|1|OCR|1
-|23060|Male|True|1|Not Graduate|True|86021|45175.0|60000|120|0|CCR|0
-|23062|Male|False|4|Not Graduate|False|8741|43089.0|10000|300|1|OCR|0
-|23063|Male|True|4|Graduate|True|45629|44563.0|50000|120|1|OCR|1
-|23064|Male|False|3|Not Graduate|True|67596|40103.0|60000|180|0|RCR|1
-|23065|Female|True|3|Graduate|True|51152||60000|180|1|RCR|1
-|23066|Female|True|4|Not Graduate|False|97539|45921.0|20000|60|0|OCR|0
-|23067|Male|False|0|Graduate|True|-50000|47086.0|50000|60|1|OCR|1
-|23068|Male|Yes|1|Graduate|False|72359|17109.0|20000|240|0|OCR|0
-|23069|Male|True|3|Graduate|True|11400|33012.0|50000|360|0|RCR|0
-|23070|Male|False|4|Not Graduate|True|69371|15703.0|60000|60|1|OCR|1
-|23070|Male|False|4|Not Graduate|True|69371|15703.0|60000|60|1|OCR|1
-|23071|Male|False|2|Graduate|True|35475|7930.0|30000|240|1|CCR|1
-|23072|Male|False|4|Graduate|True|62107|39929.0|40000|60|1|OCR|1
-|23073|Female|True|3|Not Graduate|True|34344|10813.0|50000|60|1|RCR|0
-|23074|Male|False|1|Graduate|True|74916|22849.0|20000|360|1|CCR|0
-|23075|Male|True|4|Graduate|True|75510|24223.0|40000|120|0|OCR|1
-|23076|Male|False|4|Graduate|True|73830|9555.0|40000|360|1|RCR|0
-|23077|Male|True|4|Not Graduate|True|97761|1554.0|20000|120|0|RCR|0
-|23078|Male|False|2|Graduate|False|73939|39096.0|20000|60|1|CCR|1
-|23080|Male|False|1|Not Graduate|True|82547||60000|180|1|OCR|1
-|23081|Male|False|3|Not Graduate|True|89870|30701.0|60000|180|0|CCR|0
-|23082|Female|True|2|Graduate|False|84853|28676.0|30000|300|1|RCR|1
-|23083|Female|True|3|Graduate|True|57373|18901.0|50000|300|1|CCR|0
-|23084|Male|True|1|Not Graduate|True|87904|26545.0|60000|300|1|RCR|1
-|23085|Male|False|4|Graduate|False|29047|23464.0|60000|120|0|OCR|1
-|23086|Male|False|4|Not Graduate|False|39977|25310.0|10000|360|0|OCR|1
-|23088|Female|True|0|Not Graduate|False|55981|41804.0|60000|60|0|RCR|1
-|23089|Male|False|1|Not Graduate|True|84115|32359.0|30000|120|1|CCR|1
-|23090|Male|False|0|Not Graduate|False|37590|41736.0|10000|120|1|CCR|1
-|23092|Male|True|2|Not Graduate|True|94400||20000|60|1|OCR|0
-|23094|Male|False|1|Not Graduate|False|77965|38757.0|20000|180|1|OCR|0
-|23095|Male|False|2|Not Graduate|False|70544|13939.0|60000|240|1|RCR|1
-|23096|Male|False|3|Graduate|False|25919|2734.0|30000|60|1|OCR|0
-|23097|Female|False|4|Not Graduate|True|96009|21601.0|40000|60|0|OCR|1
-|23098|Male|False|4|Not Graduate|False|15666|5330.0|10000|360|1|CCR|1
-|23099|Female|False|2|Not Graduate|True|45045|24963.0|10000|60|1|CCR|0
-|23100|Female|True|1|Graduate|True|93468||50000|60|1|OCR|0
-|23101|Male|False|2|Not Graduate|True|76109||60000|180|1|RCR|0
-|23104|Male|True|2|Graduate|False|87518|34804.0|10000|120|0|OCR|1
-|23105|Male|False|0|Not Graduate|True|14723|6631.0|20000|300|0|OCR|0
-|23106|Male|False|0|Not Graduate|True|54806|23825.0|40000|300|0|OCR|1
-|23107|Male|True|1|Graduate|True|51300|2330.0|40000|180|1|RCR|1
-|23109|Male|True|3|Graduate|False|28512|7325.0|10000|60|0|OCR|0
-|23112|Male|True|1|Graduate|True|54085|15624.0|20000|60|1|OCR|0
-|23113|Male|True|0|Not Graduate|True|76472|12695.0|60000|180|1|OCR|0
-|23114|Male|False|4|Graduate|True|89338|16371.0|30000|360|1|OCR|1
-|23115|Female|True|1|Not Graduate|False|72920|4188.0|50000|360|1|OCR|1
-|23116|Male|No|3|Graduate|True|11670|29446.0|50000|360|1|RCR|0
-|23117|Male|True|1|Not Graduate|False|47686|18832.0|60000|180|1|OCR|0
-|23118|Male|False|3|Graduate|True|57011|38132.0|40000|60|0|CCR|0
-|23119|Male|False|4|Not Graduate|True|53735|4119.0|30000|60|0|RCR|1
-|23121|Female|False|3|Graduate|True|88076|38926.0|10000|240|0|CCR|0
-|23122|Female|True|3|Graduate|True|68940|23390.0|20000|120|1|OCR|0
-|23123|Female|False|4|Graduate|False|82340|6276.0|20000|300|1|CCR|1
-|23124|Male|False|0|Graduate|True|70107|37426.0|50000|240|1|OCR|1
