Num_Kids|Loan_ID|Gender|Married|Dependent_No|Education|Self_Employed|Applicant_Income|CoApplicant_Income|Loan_Amount|Loan_Amount_Term|Credit History|Property_District|Loan_Status
-|27471|Male|True|1|Not Graduate|True|4251|34868.0|30000|300|1|CCR|1
-|27472|Male|False|1|Graduate|False|23399|30710.0|30000|60|1|OCR|1
-|27473|Female|False|4|Not Graduate|True|68684|13669.0|50000|180|1|OCR|1
-|27474|Male|False|3|Graduate|True|19825|20862.0|10000|360|0|OCR|1
-|27475|Male|True|3|Not Graduate|True|65643|15199.0|60000|240|0|OCR|1
-|27476|Female|True|4|Not Graduate|False|14015|27503.0|40000|60|1|RCR|0
-|27478|Male|True|4|Graduate|False|69916|29622.0|50000|240|0|OCR|1
-|27479|Male|False|4|Not Graduate|True|74074|26090.0|40000|120|1|RCR|1
-|27480|Female|True|3|Not Graduate|True|31163|27701.0|10000|360|0|OCR|1
-|27481|Male|True|3|Not Graduate|False|57356|12700.0|60000|180|1|RCR|1
-|27483|Male|False|3|Not Graduate|False|83867||30000|60|0|OCR|1
-|27483|Male|False|3|Not Graduate|False|83867||30000|60|0|OCR|1
-|27484|Male|False|1|Graduate|False|62648|43238.0|40000|240|1|OCR|0
-|27485|Male|True|4|Not Graduate|True|59978|10714.0|30000|240|0|RCR|0
-|27486|Male|True|4|Not Graduate|False|81161|45082.0|50000|180|1|OCR|0
-|27488|Male|True|2|Not Graduate|True|82433||10000|240|1|RCR|1
-|27489|Female|False|0|Not Graduate|True|55687||50000|300|1|OCR|1
-|27490|Female|False|1|Graduate|True|25570|31183.0|20000|120|0|RCR|1
-|27491|Female|True|2|Graduate|True|10437|19347.0|40000|60|0|OCR|1
-|27492|Male|True|1|Not Graduate|False|95293|12805.0|60000|240|1|OCR|0
-|27493|Male|True|4|Graduate|True|4937|47664.0|10000|180|0|RCR|1
-|27495|Female|False|4|Not Graduate|True|44880||10000|60|1|CCR|1
-|27496|Male|True|4|Not Graduate|True|12667|23086.0|20000|120|0|RCR|1
-|27497|Female|False|3|Not Graduate|True|55074||40000|360|0|CCR|1
-|27498|Male|True|0|Not Graduate|False|93632|36646.0|10000|180|0|OCR|1
-|27499|Male|False|0|Not Graduate|True|94817|4511.0|20000|240|1|RCR|1
